Contractor,Locality,Locality Name,Qualifying APM National Anes CF (with 2.5% statutory increase) of 20.599835,Non-Qualifying APM National Anes CF (with 2.5% Statutory increase)  of 20.49754
10112 ,00 ,ALABAMA,19.63,19.53
02102 ,01 ,ALASKA*,28.29,28.15
03102 ,00 ,ARIZONA,20.31,20.21
07102 ,13 ,ARKANSAS,19.51,19.42
01112 ,54 ,BAKERSFIELD,20.67,20.56
01112 ,55 ,CHICO,20.54,20.43
01182 ,71 ,EL CENTRO,20.54,20.44
01112 ,56 ,FRESNO,20.54,20.43
01112 ,57 ,HANFORD-CORCORAN,20.54,20.43
01182 ,18 ,LOS ANGELES-LONG BEACH-ANAHEIM (LOS ANGELES/ORANGE CNTY),21.36,21.26
01112 ,58 ,MADERA,20.54,20.43
01112 ,59 ,MERCED,20.54,20.43
01112 ,60 ,MODESTO,20.54,20.43
01112 ,51 ,NAPA,21.92,21.81
01182 ,17 ,OXNARD-THOUSAND OAKS-VENTURA,21.09,20.99
01112 ,61 ,REDDING,20.54,20.43
01112 ,62 ,RIVERSIDE-SAN BERNARDINO-ONTARIO,20.98,20.88
01112 ,63 ,SACRAMENTO-ROSEVILLE-FOLSOM,21.05,20.94
01112 ,64 ,SALINAS,20.95,20.85
01182 ,72 ,SAN DIEGO-CHULA VISTA-CARLSBAD,21.06,20.95
01112 ,05 ,SAN FRANCISCO-OAKLAND-BERKELEY (SAN FRANCISCO/SAN MATEO/ALAMEDA/CONTRA COSTA CNTY),22.60,22.49
01112 ,52 ,SAN FRANCISCO-OAKLAND-BERKELEY (MARIN CNTY),22.65,22.53
01112 ,65 ,SAN JOSE-SUNNYVALE-SANTA CLARA (SAN BENITO CNTY),23.09,22.98
01182 ,73 ,SAN LUIS OBISPO-PASO ROBLES,20.67,20.56
01112 ,09 ,SAN JOSE-SUNNYVALE-SANTA CLARA (SANTA CLARA CNTY),22.90,22.79
01112 ,66 ,SANTA CRUZ-WATSONVILLE,20.96,20.86
01182 ,74 ,SANTA MARIA-SANTA BARBARA,20.93,20.82
01112 ,67 ,SANTA ROSA-PETALUMA,21.15,21.04
01112 ,68 ,STOCKTON,20.54,20.43
01112 ,53 ,VALLEJO,21.85,21.74
01112 ,69 ,VISALIA,20.54,20.43
01112 ,70 ,YUBA CITY,20.54,20.43
01112 ,75 ,REST OF CALIFORNIA,20.54,20.43
04112 ,01 ,COLORADO,20.69,20.59
13102 ,00 ,CONNECTICUT,21.44,21.34
12202 ,01 ,DC + MD/VA SUBURBS,22.17,22.06
12102 ,01 ,DELAWARE,20.51,20.41
09102 ,03 ,FORT LAUDERDALE,21.74,21.63
09102 ,04 ,MIAMI,22.80,22.69
09102 ,99 ,REST OF FLORIDA,21.15,21.05
10212 ,01 ,ATLANTA,20.97,20.87
10212 ,99 ,REST OF GEORGIA,20.53,20.43
01212 ,01 ,"HAWAII, GUAM",20.44,20.34
02202 ,00 ,IDAHO,19.64,19.54
06102 ,16 ,CHICAGO,22.49,22.38
06102 ,12 ,EAST ST. LOUIS,21.74,21.63
06102 ,15 ,SUBURBAN CHICAGO,21.84,21.74
06102 ,99 ,REST OF ILLINOIS,21.10,21.00
08102 ,00 ,INDIANA,19.68,19.58
05102 ,00 ,IOWA,19.52,19.43
05202 ,00 ,KANSAS,19.63,19.54
15102 ,00 ,KENTUCKY,20.15,20.05
07202 ,01 ,NEW ORLEANS,20.61,20.50
07202 ,99 ,REST OF LOUISIANA,20.19,20.09
14112 ,03 ,SOUTHERN MAINE,20.07,19.97
14112 ,99 ,REST OF MAINE,19.84,19.75
12302 ,01 ,BALTIMORE/SURR. CNTYS,21.40,21.30
12302 ,99 ,REST OF MARYLAND,20.69,20.58
14212 ,01 ,METROPOLITAN BOSTON,21.70,21.59
14212 ,99 ,REST OF MASSACHUSETTS,20.74,20.64
08202 ,01 ,DETROIT,21.43,21.32
08202 ,99 ,REST OF MICHIGAN,20.51,20.41
06202 ,00 ,MINNESOTA,19.73,19.63
07302 ,00 ,MISSISSIPPI,19.82,19.73
05302 ,02 ,METROPOLITAN KANSAS CITY,20.38,20.28
05302 ,01 ,METROPOLITAN ST. LOUIS,20.46,20.36
05302 ,99 ,REST OF MISSOURI,20.15,20.05
03202 ,01 ,MONTANA**,20.60,20.49
05402 ,00 ,NEBRASKA,19.52,19.42
01312 ,00 ,NEVADA**,20.38,20.27
14312 ,40 ,NEW HAMPSHIRE,20.55,20.45
12402 ,01 ,NORTHERN NJ,22.20,22.09
12402 ,99 ,REST OF NEW JERSEY,21.66,21.55
04212 ,05 ,NEW MEXICO,20.62,20.52
13202 ,01 ,MANHATTAN,22.92,22.81
13202 ,02 ,NYC SUBURBS/LONG ISLAND,23.37,23.26
13202 ,03 ,POUGHKPSIE/N NYC SUBURBS,21.90,21.79
13292 ,04 ,QUEENS,22.79,22.68
13282 ,99 ,REST OF NEW YORK,20.04,19.95
11502 ,00 ,NORTH CAROLINA,19.91,19.81
03302 ,01 ,NORTH DAKOTA**,19.79,19.69
15202 ,00 ,OHIO,20.35,20.25
04312 ,00 ,OKLAHOMA,19.97,19.87
02302 ,01 ,PORTLAND,20.85,20.74
02302 ,99 ,REST OF OREGON,20.18,20.08
12502 ,01 ,METROPOLITAN PHILADELPHIA,21.28,21.17
12502 ,99 ,REST OF PENNSYLVANIA,20.28,20.18
09202 ,20 ,PUERTO RICO,20.61,20.51
14412 ,01 ,RHODE ISLAND,20.86,20.76
11202 ,01 ,SOUTH CAROLINA,20.17,20.07
03402 ,02 ,SOUTH DAKOTA**,19.70,19.60
10312 ,35 ,TENNESSEE,19.69,19.60
04412 ,31 ,AUSTIN,20.65,20.55
04412 ,20 ,BEAUMONT,20.23,20.13
04412 ,09 ,BRAZORIA,20.40,20.30
04412 ,11 ,DALLAS,20.54,20.44
04412 ,28 ,FORT WORTH,20.53,20.43
04412 ,15 ,GALVESTON,20.47,20.37
04412 ,18 ,HOUSTON,21.22,21.11
04412 ,99 ,REST OF TEXAS,20.31,20.21
03502 ,09 ,UTAH,20.28,20.18
14512 ,50 ,VERMONT,19.90,19.80
11302 ,00 ,VIRGINIA,20.15,20.05
09202 ,50 ,VIRGIN ISLANDS,20.61,20.51
02402 ,02 ,SEATTLE (KING CNTY),21.85,21.74
02402 ,99 ,REST OF WASHINGTON,20.65,20.54
11402 ,16 ,WEST VIRGINIA,20.79,20.69
06302 ,00 ,WISCONSIN,19.53,19.43
03602 ,21 ,WYOMING**,20.25,20.15
,,,,
,,,,
,,,,
