ADDENDUM E. FINAL CY 2026 GEOGRAPHIC PRACTICE COST INDICES (GPCIs) BY STATE AND MEDICARE LOCALITY,,,,,,
,,,,,,
Medicare Administrative Contractor (MAC),State,Locality Number,Locality Name,2026 PW GPCI (with 1.0 Floor)***,2026 PE GPCI,2026 MP GPCI
10112,AL,00,ALABAMA,1.000,0.875,0.566
02102,AK,01,ALASKA*,1.500,1.065,0.551
03102,AZ,00,ARIZONA,1.000,0.969,0.856
07102,AR,13,ARKANSAS,1.000,0.859,0.515
01112,CA,54,BAKERSFIELD,1.019,1.096,0.609
01112,CA,55,CHICO,1.017,1.096,0.536
01182,CA,71,EL CENTRO,1.017,1.096,0.541
01112,CA,56,FRESNO,1.017,1.096,0.536
01112,CA,57,HANFORD-CORCORAN,1.017,1.096,0.536
01182,CA,18,LOS ANGELES-LONG BEACH-ANAHEIM (LOS ANGELES/ORANGE CNTY),1.041,1.183,0.664
01112,CA,58,MADERA,1.017,1.096,0.536
01112,CA,59,MERCED,1.017,1.096,0.536
01112,CA,60,MODESTO,1.017,1.096,0.536
01112,CA,51,NAPA,1.063,1.318,0.508
01182,CA,17,OXNARD-THOUSAND OAKS-VENTURA,1.028,1.182,0.623
01112,CA,61,REDDING,1.017,1.096,0.536
01112,CA,62,RIVERSIDE-SAN BERNARDINO-ONTARIO,1.018,1.096,0.853
01112,CA,63,SACRAMENTO-ROSEVILLE-FOLSOM,1.036,1.163,0.536
01112,CA,64,SALINAS,1.031,1.159,0.536
01182,CA,72,SAN DIEGO-CHULA VISTA-CARLSBAD,1.030,1.196,0.542
01112,CA,05,SAN FRANCISCO-OAKLAND-BERKELEY (SAN FRANCISCO/SAN MATEO/ALAMEDA/CONTRA COSTA CNTY),1.095,1.410,0.425
01112,CA,52,SAN FRANCISCO-OAKLAND-BERKELEY (MARIN CNTY),1.095,1.410,0.459
01112,CA,65,SAN JOSE-SUNNYVALE-SANTA CLARA (SAN BENITO CNTY),1.110,1.442,0.536
01182,CA,73,SAN LUIS OBISPO-PASO ROBLES,1.017,1.139,0.536
01112,CA,09,SAN JOSE-SUNNYVALE-SANTA CLARA (SANTA CLARA CNTY),1.110,1.442,0.397
01112,CA,66,SANTA CRUZ-WATSONVILLE,1.021,1.215,0.536
01182,CA,74,SANTA MARIA-SANTA BARBARA,1.028,1.166,0.536
01112,CA,67,SANTA ROSA-PETALUMA,1.030,1.228,0.536
01112,CA,68,STOCKTON,1.017,1.096,0.536
01112,CA,53,VALLEJO,1.063,1.318,0.459
01112,CA,69,VISALIA,1.017,1.096,0.536
01112,CA,70,YUBA CITY,1.017,1.096,0.536
01112,CA,75,REST OF CALIFORNIA,1.017,1.096,0.536
04112,CO,01,COLORADO,1.012,1.064,0.781
13102,CT,00,CONNECTICUT,1.020,1.077,1.210
12202,DC,01,DC + MD/VA SUBURBS,1.054,1.178,1.113
12102,DE,01,DELAWARE,1.005,0.988,0.899
09102,FL,03,FORT LAUDERDALE,1.000,1.013,1.808
09102,FL,04,MIAMI,1.000,1.041,2.529
09102,FL,99,REST OF FLORIDA,1.000,0.956,1.503
10212,GA,01,ATLANTA,1.003,1.016,1.201
10212,GA,99,REST OF GEORGIA,1.000,0.892,1.192
01212,HI,01,"HAWAII, GUAM",1.000,1.137,0.579
02202,ID,00,IDAHO,1.000,0.920,0.473
06102,IL,16,CHICAGO,1.007,1.005,2.295
06102,IL,12,EAST ST. LOUIS,1.000,0.920,2.014
06102,IL,15,SUBURBAN CHICAGO,1.007,1.027,1.772
06102,IL,99,REST OF ILLINOIS,1.000,0.913,1.563
08102,IN,00,INDIANA,1.000,0.927,0.486
05102,IA,00,IOWA,1.000,0.915,0.397
05202,KS,00,KANSAS,1.000,0.904,0.504
15102,KY,00,KENTUCKY,1.000,0.889,0.915
07202,LA,01,NEW ORLEANS,1.000,0.941,1.136
07202,LA,99,REST OF LOUISIANA,1.000,0.885,0.958
14112,ME,03,SOUTHERN MAINE,1.000,0.991,0.631
14112,ME,99,REST OF MAINE,1.000,0.920,0.622
12302,MD,01,BALTIMORE/SURR. CNTYS,1.016,1.073,1.237
12302,MD,99,REST OF MARYLAND,1.010,1.012,0.918
14212,MA,01,METROPOLITAN BOSTON,1.041,1.194,0.890
14212,MA,99,REST OF MASSACHUSETTS,1.016,1.053,0.797
08202,MI,01,DETROIT,1.000,0.965,1.686
08202,MI,99,REST OF MICHIGAN,1.000,0.913,1.129
06202,MN,00,MINNESOTA,1.000,1.029,0.296
07302,MS,00,MISSISSIPPI,1.000,0.861,0.739
05302,MO,02,METROPOLITAN KANSAS CITY,1.000,0.939,0.977
05302,MO,01,METROPOLITAN ST. LOUIS,1.000,0.952,1.002
05302,MO,99,REST OF MISSOURI,1.000,0.862,0.974
03202,MT,01,MONTANA**,1.000,1.000,0.998
05402,NE,00,NEBRASKA,1.000,0.923,0.378
01312,NV,00,NEVADA**,1.000,1.001,0.833
