HCPCS,MOD,PROCSTAT,CARRIER,LOCALITY,FACILITY PRICE,NON-FACILTY PRICE
0633T,TC,C,01112,05,150.38,150.38
0633T,TC,C,01112,09,153.78,153.78
0633T,TC,C,01112,51,140.60,140.60
0633T,TC,C,01112,52,150.39,150.39
0633T,TC,C,01112,53,140.58,140.58
0633T,TC,C,01112,54,116.98,116.98
0633T,TC,C,01112,55,116.96,116.96
0633T,TC,C,01112,56,116.96,116.96
0633T,TC,C,01112,57,116.96,116.96
0633T,TC,C,01112,58,116.96,116.96
0633T,TC,C,01112,59,116.96,116.96
0633T,TC,C,01112,60,116.96,116.96
0633T,TC,C,01112,61,116.96,116.96
0633T,TC,C,01112,62,117.06,117.06
0633T,TC,C,01112,63,124.10,124.10
0633T,TC,C,01112,64,123.67,123.67
0633T,TC,C,01112,65,153.82,153.82
0633T,TC,C,01112,66,129.64,129.64
0633T,TC,C,01112,67,131.02,131.02
0633T,TC,C,01112,68,116.96,116.96
0633T,TC,C,01112,69,116.96,116.96
0633T,TC,C,01112,70,116.96,116.96
0633T,TC,C,01112,75,116.96,116.96
0633T,TC,C,01182,17,126.15,126.15
0633T,TC,C,01182,18,126.27,126.27
0633T,TC,C,01182,71,116.96,116.96
0633T,TC,C,01182,72,127.61,127.61
0633T,TC,C,01182,73,121.54,121.54
0633T,TC,C,01182,74,124.42,124.42
0633T,TC,C,01212,01,121.34,121.34
0633T,TC,C,01312,00,106.93,106.93
0633T,TC,C,02102,01,113.66,113.66
0633T,TC,C,02202,00,98.18,98.18
0633T,TC,C,02302,01,118.62,118.62
0633T,TC,C,02302,99,106.36,106.36
0633T,TC,C,02402,02,131.01,131.01
0633T,TC,C,02402,99,112.45,112.45
0633T,TC,C,03102,00,103.53,103.53
0633T,TC,C,03202,01,106.88,106.88
0633T,TC,C,03302,01,106.68,106.68
0633T,TC,C,03402,02,106.66,106.66
0633T,TC,C,03502,09,100.46,100.46
0633T,TC,C,03602,21,106.80,106.80
0633T,TC,C,04112,01,113.63,113.63
0633T,TC,C,04212,05,98.11,98.11
0633T,TC,C,04312,00,95.41,95.41
0633T,TC,C,04412,09,105.85,105.85
0633T,TC,C,04412,11,106.41,106.41
0633T,TC,C,04412,15,106.08,106.08
0633T,TC,C,04412,18,106.26,106.26
0633T,TC,C,04412,20,97.27,97.27
0633T,TC,C,04412,28,105.35,105.35
0633T,TC,C,04412,31,113.02,113.02
0633T,TC,C,04412,99,101.42,101.42
0633T,TC,C,05102,00,97.62,97.62
0633T,TC,C,05202,00,96.49,96.49
0633T,TC,C,05302,01,101.77,101.77
0633T,TC,C,05302,02,100.38,100.38
0633T,TC,C,05302,99,92.17,92.17
0633T,TC,C,05402,00,98.47,98.47
0633T,TC,C,06102,12,98.70,98.70
0633T,TC,C,06102,15,110.02,110.02
0633T,TC,C,06102,16,107.85,107.85
0633T,TC,C,06102,99,97.80,97.80
0633T,TC,C,06202,00,109.74,109.74
0633T,TC,C,06302,00,102.18,102.18
0633T,TC,C,07102,13,91.70,91.70
0633T,TC,C,07202,01,100.64,100.64
0633T,TC,C,07202,99,94.62,94.62
0633T,TC,C,07302,00,91.99,91.99
0633T,TC,C,08102,00,98.93,98.93
0633T,TC,C,08202,01,103.38,103.38
0633T,TC,C,08202,99,97.66,97.66
0633T,TC,C,09102,03,108.54,108.54
0633T,TC,C,09102,04,111.76,111.76
0633T,TC,C,09102,99,102.36,102.36
0633T,TC,C,09202,20,108.05,108.05
0633T,TC,C,09202,50,108.05,108.05
0633T,TC,C,10112,00,93.42,93.42
0633T,TC,C,10212,01,108.65,108.65
0633T,TC,C,10212,99,95.44,95.44
0633T,TC,C,10312,35,97.03,97.03
0633T,TC,C,11202,01,98.74,98.74
0633T,TC,C,11302,00,104.97,104.97
0633T,TC,C,11402,16,93.07,93.07
0633T,TC,C,11502,00,99.62,99.62
0633T,TC,C,12102,01,105.57,105.57
0633T,TC,C,12202,01,125.89,125.89
0633T,TC,C,12302,01,114.74,114.74
0633T,TC,C,12302,99,108.13,108.13
0633T,TC,C,12402,01,123.95,123.95
0633T,TC,C,12402,99,116.72,116.72
0633T,TC,C,12502,01,111.32,111.32
0633T,TC,C,12502,99,98.13,98.13
0633T,TC,C,13102,00,115.16,115.16
0633T,TC,C,13202,01,124.34,124.34
0633T,TC,C,13202,02,127.31,127.31
0633T,TC,C,13202,03,117.08,117.08
0633T,TC,C,13282,99,101.46,101.46
0633T,TC,C,13292,04,126.42,126.42
0633T,TC,C,14112,03,105.80,105.80
0633T,TC,C,14112,99,98.23,98.23
0633T,TC,C,14212,01,127.52,127.52
0633T,TC,C,14212,99,112.46,112.46
0633T,TC,C,14312,40,111.21,111.21
0633T,TC,C,14412,01,110.36,110.36
0633T,TC,C,14512,50,105.65,105.65
0633T,TC,C,15102,00,95.03,95.03
0633T,TC,C,15202,00,97.62,97.62
0634T,TC,C,01112,05,252.57,252.57
0634T,TC,C,01112,09,258.29,258.29
0634T,TC,C,01112,51,236.13,236.13
0634T,TC,C,01112,52,252.58,252.58
0634T,TC,C,01112,53,236.11,236.11
0634T,TC,C,01112,54,196.42,196.42
0634T,TC,C,01112,55,196.39,196.39
0634T,TC,C,01112,56,196.39,196.39
0634T,TC,C,01112,57,196.39,196.39
0634T,TC,C,01112,58,196.39,196.39
0634T,TC,C,01112,59,196.39,196.39
0634T,TC,C,01112,60,196.39,196.39
0634T,TC,C,01112,61,196.39,196.39
0634T,TC,C,01112,62,196.50,196.50
0634T,TC,C,01112,63,208.39,208.39
0634T,TC,C,01112,64,207.67,207.67
0634T,TC,C,01112,65,258.34,258.34
0634T,TC,C,01112,66,217.70,217.70
0634T,TC,C,01112,67,220.03,220.03
0634T,TC,C,01112,68,196.39,196.39
0634T,TC,C,01112,69,196.39,196.39
0634T,TC,C,01112,70,196.39,196.39
0634T,TC,C,01112,75,196.39,196.39
0634T,TC,C,01182,17,211.82,211.82
0634T,TC,C,01182,18,212.01,212.01
0634T,TC,C,01182,71,196.40,196.40
0634T,TC,C,01182,72,214.30,214.30
0634T,TC,C,01182,73,204.09,204.09
0634T,TC,C,01182,74,208.93,208.93
0634T,TC,C,01212,01,203.75,203.75
0634T,TC,C,01312,00,179.49,179.49
0634T,TC,C,02102,01,190.85,190.85
0634T,TC,C,02202,00,164.86,164.86
0634T,TC,C,02302,01,199.15,199.15
0634T,TC,C,02302,99,178.55,178.55
0634T,TC,C,02402,02,219.94,219.94
0634T,TC,C,02402,99,188.77,188.77
0634T,TC,C,03102,00,173.76,173.76
0634T,TC,C,03202,01,179.36,179.36
0634T,TC,C,03302,01,179.16,179.16
0634T,TC,C,03402,02,179.14,179.14
0634T,TC,C,03502,09,168.59,168.59
0634T,TC,C,03602,21,179.28,179.28
0634T,TC,C,04112,01,190.75,190.75
0634T,TC,C,04212,05,164.57,164.57
0634T,TC,C,04312,00,160.13,160.13
0634T,TC,C,04412,09,177.68,177.68
0634T,TC,C,04412,11,178.60,178.60
0634T,TC,C,04412,15,178.05,178.05
0634T,TC,C,04412,18,178.24,178.24
0634T,TC,C,04412,20,163.23,163.23
0634T,TC,C,04412,28,176.81,176.81
0634T,TC,C,04412,31,189.71,189.71
0634T,TC,C,04412,99,170.20,170.20
0634T,TC,C,05102,00,163.94,163.94
0634T,TC,C,05202,00,162.01,162.01
0634T,TC,C,05302,01,170.77,170.77
0634T,TC,C,05302,02,168.43,168.43
0634T,TC,C,05302,99,154.65,154.65
0634T,TC,C,05402,00,165.37,165.37
0634T,TC,C,06102,12,165.38,165.38
0634T,TC,C,06102,15,184.45,184.45
0634T,TC,C,06102,16,180.69,180.69
0634T,TC,C,06102,99,163.98,163.98
0634T,TC,C,06202,00,184.32,184.32
0634T,TC,C,06302,00,171.61,171.61
0634T,TC,C,07102,13,153.96,153.96
0634T,TC,C,07202,01,168.85,168.85
0634T,TC,C,07202,99,158.76,158.76
0634T,TC,C,07302,00,154.39,154.39
0634T,TC,C,08102,00,166.12,166.12
0634T,TC,C,08202,01,173.33,173.33
0634T,TC,C,08202,99,163.83,163.83
0634T,TC,C,09102,03,181.96,181.96
0634T,TC,C,09102,04,187.21,187.21
0634T,TC,C,09102,99,171.65,171.65
0634T,TC,C,09202,20,181.33,181.33
0634T,TC,C,09202,50,181.33,181.33
0634T,TC,C,10112,00,156.84,156.84
0634T,TC,C,10212,01,182.29,182.29
0634T,TC,C,10212,99,160.09,160.09
0634T,TC,C,10312,35,162.92,162.92
0634T,TC,C,11202,01,165.71,165.71
0634T,TC,C,11302,00,176.22,176.22
0634T,TC,C,11402,16,156.05,156.05
0634T,TC,C,11502,00,167.25,167.25
0634T,TC,C,12102,01,177.18,177.18
0634T,TC,C,12202,01,211.27,211.27
0634T,TC,C,12302,01,192.51,192.51
0634T,TC,C,12302,99,181.48,181.48
0634T,TC,C,12402,01,208.03,208.03
0634T,TC,C,12402,99,195.87,195.87
0634T,TC,C,12502,01,186.77,186.77
0634T,TC,C,12502,99,164.66,164.66
0634T,TC,C,13102,00,193.22,193.22
0634T,TC,C,13202,01,208.56,208.56
0634T,TC,C,13202,02,213.49,213.49
0634T,TC,C,13202,03,196.44,196.44
0634T,TC,C,13282,99,170.31,170.31
0634T,TC,C,13292,04,212.09,212.09
0634T,TC,C,14112,03,177.63,177.63
0634T,TC,C,14112,99,164.91,164.91
0634T,TC,C,14212,01,214.06,214.06
0634T,TC,C,14212,99,188.78,188.78
0634T,TC,C,14312,40,186.66,186.66
0634T,TC,C,14412,01,185.23,185.23
0634T,TC,C,14512,50,177.41,177.41
0634T,TC,C,15102,00,159.46,159.46
0634T,TC,C,15202,00,163.79,163.79
0635T,TC,C,01112,05,252.57,252.57
0635T,TC,C,01112,09,258.29,258.29
0635T,TC,C,01112,51,236.13,236.13
0635T,TC,C,01112,52,252.58,252.58
0635T,TC,C,01112,53,236.11,236.11
0635T,TC,C,01112,54,196.42,196.42
0635T,TC,C,01112,55,196.39,196.39
0635T,TC,C,01112,56,196.39,196.39
0635T,TC,C,01112,57,196.39,196.39
0635T,TC,C,01112,58,196.39,196.39
0635T,TC,C,01112,59,196.39,196.39
0635T,TC,C,01112,60,196.39,196.39
0635T,TC,C,01112,61,196.39,196.39
0635T,TC,C,01112,62,196.50,196.50
0635T,TC,C,01112,63,208.39,208.39
0635T,TC,C,01112,64,207.67,207.67
0635T,TC,C,01112,65,258.34,258.34
0635T,TC,C,01112,66,217.70,217.70
0635T,TC,C,01112,67,220.03,220.03
0635T,TC,C,01112,68,196.39,196.39
0635T,TC,C,01112,69,196.39,196.39
0635T,TC,C,01112,70,196.39,196.39
0635T,TC,C,01112,75,196.39,196.39
0635T,TC,C,01182,17,211.82,211.82
0635T,TC,C,01182,18,212.01,212.01
0635T,TC,C,01182,71,196.40,196.40
0635T,TC,C,01182,72,214.30,214.30
0635T,TC,C,01182,73,204.09,204.09
0635T,TC,C,01182,74,208.93,208.93
0635T,TC,C,01212,01,203.75,203.75
0635T,TC,C,01312,00,179.49,179.49
0635T,TC,C,02102,01,190.85,190.85
0635T,TC,C,02202,00,164.86,164.86
0635T,TC,C,02302,01,199.15,199.15
0635T,TC,C,02302,99,178.55,178.55
0635T,TC,C,02402,02,219.94,219.94
0635T,TC,C,02402,99,188.77,188.77
0635T,TC,C,03102,00,173.76,173.76
0635T,TC,C,03202,01,179.36,179.36
0635T,TC,C,03302,01,179.16,179.16
0635T,TC,C,03402,02,179.14,179.14
0635T,TC,C,03502,09,168.59,168.59
0635T,TC,C,03602,21,179.28,179.28
0635T,TC,C,04112,01,190.75,190.75
0635T,TC,C,04212,05,164.57,164.57
0635T,TC,C,04312,00,160.13,160.13
0635T,TC,C,04412,09,177.68,177.68
0635T,TC,C,04412,11,178.60,178.60
0635T,TC,C,04412,15,178.05,178.05
0635T,TC,C,04412,18,178.24,178.24
0635T,TC,C,04412,20,163.23,163.23
0635T,TC,C,04412,28,176.81,176.81
0635T,TC,C,04412,31,189.71,189.71
0635T,TC,C,04412,99,170.20,170.20
0635T,TC,C,05102,00,163.94,163.94
0635T,TC,C,05202,00,162.01,162.01
0635T,TC,C,05302,01,170.77,170.77
0635T,TC,C,05302,02,168.43,168.43
0635T,TC,C,05302,99,154.65,154.65
0635T,TC,C,05402,00,165.37,165.37
