catalog_order,track,category,subcategory,format,title,series_number,duration,upload_date,views,video_id,url,description
1,Foundations & Approach,Clinical MRI physics,Three-part foundation series,Long-form lecture,Introduction to Clinical MRI Physics (part 1 of 3),1,39:48,2020-05-08,119361,Yubg0cmXSQg,https://www.youtube.com/watch?v=Yubg0cmXSQg,"Intended audience: radiology residents and fellows, medical students, or anyone who is interested in learning basic MRI physics conceptually. No complex equations or formulas. It is also helpful for those who are seeking the cure to their insomnia.
----- Contents -----
0:00 - Intro
3:06 - Basic definitions
5:35 - MR active atoms
7:23 - Hydrogen proton / spin
9:09 - Larmor frequency and equation
11:19 - Longitudinal and transverse magnetization
12:57 - Resonance
14:33 - Longitudinal relaxation and T1 relaxation time
19:39 - Transverse relaxation and T2 relaxation time
22:52 - T2*, echo, and Spin Echo technique
32:27 - T1 and T2 weighted imaging"
2,Foundations & Approach,Clinical MRI physics,Three-part foundation series,Long-form lecture,Introduction to Clinical MRI Physics (part 2 of 3),2,41:01,2020-05-10,56411,Uyf3A87q7g4,https://www.youtube.com/watch?v=Uyf3A87q7g4,"Intended audience: radiology residents and fellows, medical students, or anyone who is interested in learning basic MRI physics conceptually. No complex equations or formulas.
0:00 - Intro
2:12 - Imaging localization and Gradient
5:51 - Slice selection
11:22 - Frequency and Phase definition
14:48 - Frequency encoding (FE)
23:54 - Phase encoding (PE)
28:45 - Frequency and phase encoding and K space
38:33 - How to tell FE vs. PE direction, examples"
3,Foundations & Approach,Clinical MRI physics,Three-part foundation series,Long-form lecture,Introduction to Clinical MRI Physics (part 3 of 3),3,36:05,2020-05-18,32539,-mgAh9zlPcI,https://www.youtube.com/watch?v=-mgAh9zlPcI,"Intended audience: radiology residents and fellows, medical students, or anyone who is interested in learning basic MRI physics conceptually. No complex equations or formulas.
0:00 - Intro
1:00 - 2D vs. 3D
8:27 - Matrix and Field of view
11:00 - Wrap around artifact
12:05 - Nyquist sampling rate and Undersampling
14:04 - Frequency undersampling artifact
17:34 - Phase undersampling artifact
21:08 - Pulse diagrams and basic parameters
23:57 - Gradient echo technique
31:31 - Inversion recovery technique"
4,Foundations & Approach,MRI interpretation fundamentals,Systematic brain MRI approach,Long-form tutorial,How To Read A Brain MRI - Neuroradiology Made Easy (Maybe?),,42:09,2021-08-30,103151,ODNvqoAYkgw,https://www.youtube.com/watch?v=ODNvqoAYkgw,"Intended for junior radiology residents, medical students, or anyone with limited experience reading a brain MRI.
0:00 - Introduction
1:27 - DWI/ADC
5:08 - Sagittal T1
7:29 - Sag T1: Midline anatomy
12:34 - Axial T1
16:24 - Axial T1: Axial anatomy
22:29 - Axial FLAIR
27:40 - Axial T2
32:26 - SWI/GRE
35:42 - T1 post-contrast
39:12 - Overall approach to Brain MRI"
5,Foundations & Approach,MRI interpretation fundamentals,Diffusion-weighted imaging,Long-form tutorial,DWI - How Does Acute Infarct Cause Restricted Diffusion?,,5:09,2020-11-23,23901,u4qC0x5AEVU,https://www.youtube.com/watch?v=u4qC0x5AEVU,Short Basic Neuroradiology presentation on evolution of an infarction on MRI and simplified theory behind its changing imaging appearance.
6,Foundations & Approach,MRI interpretation fundamentals,Mass effect and herniation,Long-form tutorial,Imaging of Intracranial Mass Effect and Brain Herniation Made Easy,,16:42,2020-08-03,39484,lBqstXbsxRE,https://www.youtube.com/watch?v=lBqstXbsxRE,"Target audience: Junior radiology residents, medical students, residents of other specialties, etc.
----------- Contents --------------------------
0:00 - Intro
0:09 - Basic Neuroanatomy: 4 Key Levels
4:25 - Mass Effect and Herniations
16:15 - Summary"
7,Foundations & Approach,Neuroanatomy foundations,Anatomy and pathways,Long-form tutorial,"Neuroanatomy: Limbic System, Hypothalamus, and Pituitary Axis",,29:13,2023-09-08,14054,JcDoXceVk2E,https://www.youtube.com/watch?v=JcDoXceVk2E,"Neuroanatomy of Limbic system, Hypothalamus, and Pituitary with Radiology-Anatomy Correlation
0:00 - Intro
1:30 - Midline sagittal anatomy overview
5:01 - Midline sagittal anatomy zoomed in
9:59 - Limbic system (amygdala and hippocampus)
14:55 - Hippocampus
18:37 - Hypothalamus
22:17 - Pituitary axis"
8,Foundations & Approach,Differential diagnosis tutorials,Mass lesion differential,Long-form tutorial,Top 3 Differential Diagnosis: Mass Lesion Crossing Corpus Callosum,,3:53,2021-09-16,6376,uz3uzD7jl1U,https://www.youtube.com/watch?v=uz3uzD7jl1U,"0:00 - Intro + Unknown case
0:50 - Top 3 DDX for mass lesion crossing corpus callosum
3:08 - Answer"
9,Foundations & Approach,Pediatric neuroradiology foundations,Posterior fossa malformations,Long-form tutorial,Posterior Fossa Cystic Malformations Made Easy - How To Tell Them Apart,,10:26,2020-12-05,54428,gvvuvgHE4q4,https://www.youtube.com/watch?v=gvvuvgHE4q4,"Cookbook approach to differentiate common cystic malformations of the posterior fossa. Target audience: Radiology residents, fellows, general radiologists, etc.
0:00 - Intro
0:35 - Anatomical landmarks
2:29 - Dandy-Walker
3:46 - Dandy-Walker variant?
5:02 - Blake pouch cyst
6:18 - Mega cisterna magna
7:10 - Inferior vermian hypoplasia
8:41 - Arachnoid cyst
9:26 - Summary chart"
10,Foundations & Approach,CT temporal bone,Step-by-step interpretation,Long-form tutorial,CT Temporal Bone Made Easy (Part 1) - Step by Step Approach,1,28:55,2020-11-06,145122,dF3Iel6cU_8,https://www.youtube.com/watch?v=dF3Iel6cU_8,"My basic approach to CT temporal bone, breaking into 2 parts for easier digestion, for radiology residents, non-neuro radiologists, or medical students.
00:00 - Intro
02:01 - Systematic Approach
02:22 - Outer Ear (OE)
06:04 - Middle Ear (ME)
17:54 - ME Case Example: Cholesteatoma
25:05 - ME Case Example: Cochlear Promontory"
11,Foundations & Approach,CT temporal bone,Step-by-step interpretation,Long-form tutorial,CT Temporal Bone Made Easy (Part 2) - Step by Step Approach,2,25:05,2020-11-07,56827,ldO4AEN2Fa8,https://www.youtube.com/watch?v=ldO4AEN2Fa8,"My basic approach to CT temporal bone, breaking into 2 parts for easier digestion, for radiology residents, non-neuro radiologists, or medical students.
0:00 - Intro
0:09 - Inner Ear (IE)
0:35 - Facial Nerve
7:41 - Cochlea, Vestibule, and Semicircular Canals
14:55 - IE Case Examples: LO and OS
19:04 - Vestibular aqueduct
20:55 - Others
23:30 - Summary"
12,Board Review Cases,Board review — brain,Numbered case series,Long-form case review,Neuroradiology Board Review - Brain Case 1,1,3:51,2020-12-22,4108,MiEakIf3e4g,https://www.youtube.com/watch?v=MiEakIf3e4g,"0:00 - Question
0:49 - Answer / Explanation
2:16 - Wrong choices
#neuroradiology 
Vascular Malformation: Cavernous malformation"
13,Board Review Cases,Board review — brain,Numbered case series,Long-form case review,Neuroradiology Board Review - Brain Case 2,2,3:29,2020-12-27,2770,nnyIlCD8TeY,https://www.youtube.com/watch?v=nnyIlCD8TeY,"0:00 - Question
0:50 - Answer and Explanation
2:08 - Wrong answers

Neoplasm: Subependymoma"
14,Board Review Cases,Board review — brain,Numbered case series,Long-form case review,Neuroradiology Board Review - Brain Case 3,3,4:33,2021-01-10,2563,-WlirdJMDLw,https://www.youtube.com/watch?v=-WlirdJMDLw,"0:00 - Question
0:50 - Answer and Explanation
2:39 - Wrong answers

Neoplasm: CNS lymphoma"
15,Board Review Cases,Board review — brain,Numbered case series,Long-form case review,Neuroradiology Board Review - Brain Case 4,4,7:07,2021-03-27,2512,eYLZmE_Esp4,https://www.youtube.com/watch?v=eYLZmE_Esp4,"0:00 - Question
0:59 - Answer and explanation
3:57 - DDx

Neoplasm: Pineocytoma"
16,Board Review Cases,Board review — brain,Numbered case series,Long-form case review,Neuroradiology Board Review - Brain Case 5,5,7:18,2021-05-20,2578,ZMr4W6rHp4k,https://www.youtube.com/watch?v=ZMr4W6rHp4k,"0:00 - Question
0:59 - Answer and explanation
2:13 - General ddx for intraventricular tumor
3:29 - Wrong answers explanation

Neoplasm: Central neurocytoma"
